fid,WRUA name,financial year,terraces funded(km),call 1 terraces(km),Mapped distances(km),Variance ,hectares conserved
1,Kirongwe_Rukinga,25/26,25,25.49,25.71,0.22,77.13
2,Kifumbu,25/26,25,25.2,28.3,3.1,84.9
3,Buguta,25/26,25,25.15,25.7,0.55,77.1
4,Maungu,25/26,25,25.24,26.5,1.26,79.5
5,Birikani,25/26,25,25.18,25.15,-0.03,75.45
6,Barani,25/26,25,25.17,26,0.83,78
7,Gombo_Bomani,25/26,25,25.2,25.612,0.412,76.836
8,Magombe_Shariani,25/26,25,25.18,25.27,0.09,75.81
9,Manjewa,25/26,25,25.2,25.6,0.4,76.8
10,Ndokoko_Lukakani,25/26,25,25.25,25.67,0.42,77.01
11,Mwaruphesa_Dambale,25/26,25,25.2,25.4,0.2,76.2
12,Nzovuni_Gandini,25/26,25,25.3,25.6,0.3,76.8
13,Shirango_Kafuloni,25/26,25,25.3,25.4,0.1,76.2
14,Mwangómbe_Ngoni,25/26,25,25.1,27,1.9,81
15,Nyongoni,24/25,,6,5.935,-0.065,17.805
16,Chigulu-Ngeyeni,24/25,,6,7.183,1.183,21.549
17,Mwangómbe-Ngoni,24/25,,9,7.062,-1.938,21.186
18,Mazola-Mienzeni,24/25,,8,7.911,-0.089,23.733
19,Mwachiga,24/25,,16,16.106,0.106,48.318
20,Marenje-Mulunguni,24/25,,8,9.985,1.985,29.955
TOTAL,,,,406.16,417.09,10.93,1251.27
